iso3,year,deaths,gdp_pc,vehicles_pc,pop_total,death_rate,log_pop
BEL,2017,0,41619.3286089022,NA,11375158,0,16.24694241281471
ISR,1975,2,17996.4112059125,NA,3455000,0.05788712011577424,15.055333015183908
DOM,2009,23,5327.53279165634,NA,9695265,0.2372292041527488,16.087148179962483
IRL,2015,0,64311.8234684057,NA,4701957,0,15.363489362995674
GBR,2020,0,42215.8837450989,NA,67081234,0,18.02141489069522
SRB,2019,0,6870.75746352687,NA,6945235,0,15.753566370891129
ATG,1970,0,NA,NA,64528,0,11.074854517113147
CAN,1974,0,24257.8167998797,NA,22807969,0,16.9426205504015
LUX,1990,0,66027.0758007817,NA,381850,0,12.85278314031653
CUB,2018,0,8120.43123558256,NA,11227118,0,16.233842659762452
CHE,2003,0,73254.952914928,NA,7339001,0,15.808713287785537
AUT,1999,0,37468.8699525693,NA,7992324,0,15.893992139029322
GBR,1960,0,15136.0245977707,NA,52400000,0,17.77441714929127
NLD,2013,0,44487.0306140116,NA,16804432,0,16.637153219105684
MUS,2021,0,9679.12123882353,NA,1266334,0,14.051636669955844
ATG,2005,0,17298.2265678329,NA,79611,0,11.284907553239758
HUN,1964,0,2517.64639615445,NA,10119835,0,16.13000791734285
POL,1971,2,NA,NA,32783500,0.00610062989003614,17.305435898002397
NOR,1990,0,49937.4557760277,NA,4241473,0,15.260421172537145
CAN,2006,0,41663.5123054377,NA,32571193,0,17.298938805381106
JPN,2006,7,33531.5185630775,NA,127854000,0.00547499491607614,18.66639954587611
CZE,2007,0,16892.5428566711,NA,10298828,0,16.147540660317933
ITA,1998,0,30892.1758716425,NA,56906744,0,17.85692441579901
LVA,1995,1,4661.66851148723,NA,2485056,0.04024054186304051,14.72580575247022
ARM,1999,0,1180.45341995952,NA,3167286,0,14.96838562772696
PRT,1982,0,11077.8609853574,NA,9911771,0,16.10923359871511
BRA,2007,218,8003.25413136092,NA,188552320,0.11561777654075008,19.054886086021476
ALB,1989,0,1808.64607818532,NA,3227943,0,14.987355650223508
CHE,1976,0,54351.7579349479,NA,6302504,0,15.656457572712792
TKM,2006,1,2856.77457038028,NA,5147105,0.01942839712809433,15.453944978659957
TTO,1974,0,6261.2491709821,NA,1040761,0,13.855462734302352
KNA,1977,0,4474.44162151065,NA,43358,0,10.67724650958846
MDA,1996,0,1425.9518091471,NA,2947293,0,14.896397679919858
GRC,2016,0,18049.9289175756,NA,10775971,0,16.192829305903164
PAN,1988,3,5069.86261679445,NA,2352848,0.12750504919994832,14.671137067237892
DNK,2012,0,51470.6898338005,NA,5591572,0,15.536771022055309
GTM,1991,0,2765.88205348329,NA,9272584,0,16.042572647350415
NZL,1975,0,23463.0260570469,NA,3083100,0,14.941446142281274
GEO,2011,0,3362.1030031968,NA,3756441,0,15.1389825245586
NIC,2011,0,1786.64293904555,NA,5819051,0,15.576647747992908
BRA,2000,199,6817.78424119813,NA,174018282,0.1143558008462582,18.974670920624963
CHE,1989,0,68278.0620563222,NA,6646912,0,15.709662943880868
SWE,2011,0,49355.6899419737,NA,9449213,0,16.06144201557864
BGR,1996,0,4257.0951171265,NA,8362826,0,15.93930696621633
QAT,2014,0,71756.0649338302,NA,2151745,0,14.581789698819
HUN,1980,2,7449.65812166571,NA,10711122,0.01867218018803259,16.18679319884155
ESP,1996,0,20658.8402740028,NA,39889852,0,17.501632513671648
UZB,2003,2,1381.82572808803,NA,25711259,0.00777869337320276,17.062439547315773
BEL,1968,0,15890.1322595071,NA,9618756,0,16.07922550035081
CZE,2018,0,19736.629527594,NA,10629928,0,16.17918397701203
GTM,2011,17,3621.37399118594,NA,14792126,0.11492600860755242,16.50960557013072
CHL,1964,1,3598.49781829219,NA,8842525,0.01130898696921976,15.995083027312512
ITA,1988,0,26241.1619178713,NA,56629288,0,17.852036865169698
ESP,1984,0,15250.453506894,NA,38330364,0,17.4617529337896
DMA,2014,0,7899.649940693,NA,70373,0,11.16156494585521
BLR,1999,16,2460.37464166009,NA,10026738,0.15957333282269867,16.1207658827142
RUS,1991,165,7432.021484375,NA,148394216,0.11119031755253855,18.81538291219674
PAN,1974,0,4992.24686476946,NA,1687926,0,14.339011114314529
SWE,1979,0,28504.8851836266,NA,8293678,0,15.931004095789104
MLT,2020,0,27865.3293176048,NA,515332,0,13.152566632135926
MEX,1983,239,8098.51642174164,NA,71971240,0.3320770907934892,18.0917771527367
