iso3,year,deaths,gdp_pc,vehicles_pc,pop_total,death_rate,log_pop
LCA,2009,0,10219.8203998162,NA,169869,0,12.042782830741375
LCA,2010,0,10191.3326312581,NA,170906,0,12.048868976737841
LCA,2011,1,10576.9166019205,NA,171801,0.5820687888894709,12.054092109237121
LCA,2012,0,10517.2962861137,NA,172587,0,12.058656736139021
LCA,2013,0,10259.9336790247,NA,173369,0,12.063177549952686
LCA,2014,0,10369.9770417343,NA,174138,0,12.067603367304594
LCA,2015,0,10334.9225558425,NA,174905,0,12.071998248362508
LCA,2016,0,10644.1189999038,NA,175646,0,12.076225884875608
LCA,2017,0,10960.6049819498,NA,176342,0,12.080180570302911
LCA,2018,0,11233.9485189504,NA,177017,0,12.084001052141662
LCA,2019,0,11114.7780538251,NA,177661,0,12.087632519036884
LCA,2020,0,8379.30975677286,NA,178250,0,12.090942338276543
LKA,1960,0,NA,NA,9661389,0,16.083647984671956
LKA,1961,0,659.69330629927,NA,9899372,0,16.107981878749342
LKA,1962,0,668.380473346022,NA,10143754,0,16.132368704576447
LKA,1963,0,668.638101759368,NA,10395040,0,16.156839327270696
LKA,1964,0,677.909334565534,NA,10653397,0,16.181389366396655
LKA,1965,0,678.325615318281,NA,10916965,0,16.20582855924829
LKA,1966,0,695.398031901797,NA,11183928,0,16.229988305666765
LKA,1967,0,722.512489513696,NA,11457328,0,16.254140083251862
LKA,1968,1,746.26918114991,NA,11736088,0.008520726838449065,16.278179097072684
LKA,1977,0,901.513326678551,NA,14049371,0,16.458088184058607
LKA,1980,0,1015.02750814793,NA,14847974,0,16.513373982929
LKA,1981,0,1055.01334318152,NA,15099414,0,16.530166493085083
LKA,1983,1,1129.94297855549,NA,15388794,0.006498235014387742,16.549150140171456
LKA,1984,0,1183.47937194525,NA,15441860,0,16.552592561626664
LKA,1985,0,1234.46862571907,NA,15544154,0,16.559195177350087
LKA,1986,0,1272.91465633627,NA,15731256,0,16.571160119272125
LKA,1996,0,1713.0273181187,NA,17905018,0,16.700591566719947
LKA,1997,0,1788.4742268416,NA,18248200,0,16.719577002991517
LKA,1998,0,1837.4826670222,NA,18596003,0,16.738457223117617
LKA,1999,0,1881.22600963848,NA,18944731,0,16.757036403336933
LKA,2000,0,1958.09806795553,NA,19293054,0,16.775255692723814
LKA,2001,0,1897.61149519367,NA,19600362,0,16.791058593417944
LKA,2002,0,1952.38679401121,NA,19805752,0,16.801482958526847
LKA,2003,0,2053.25202647413,NA,19951521,0,16.808815938995483
LKA,2004,0,2150.38565090357,NA,20087605,0,16.815613516145543
LKA,2005,0,2270.03856484018,NA,20216524,0,16.822010847777566
LKA,2006,0,2427.79314044729,NA,20352411,0,16.82870993949355
LKA,2007,0,2575.07565490193,NA,20492545,0,16.83557171943225
LKA,2009,3,2788.93277634451,NA,20756435,0.014453349045729674,16.848366877045493
LKA,2010,7,2994.79585926731,NA,20879089,0.03352636697894242,16.854258689758684
LKA,2011,9,3234.29773884142,NA,21009048,0.04283868550350306,16.860463760038268
LKA,2012,0,3486.86498954517,NA,21169458,0,16.868070040515946
LKA,2013,1,3731.15570563116,NA,20585000,0.004857906242409522,16.84007321318614
LKA,2014,1,3932.2601057325,NA,20778000,0.00481278275098662,16.849405292612612
LKA,2015,2,4060.13139670248,NA,20970000,0.009537434430138294,16.858603402878103
LKA,2019,7,4458.43442725849,NA,21803000,0.03210567353116543,16.897558132970186
LTU,1981,0,NA,NA,3432947,0,15.048929633928578
LTU,1982,0,NA,NA,3457179,0,15.055963496562407
LTU,1985,2,NA,NA,3544543,0.05642476336159556,15.080919795674918
LTU,1986,1,NA,NA,3578914,0.02794143698339776,15.090569960401064
LTU,1987,0,NA,NA,3616367,0,15.100980488706933
LTU,1988,0,NA,NA,3655049,0,15.111620057368903
LTU,1989,4,NA,NA,3684255,0.10857011797500445,15.119578892202904
LTU,1990,3,8333.35053496193,NA,3697838,0.08112848642909722,15.12325888250614
LTU,1991,4,7847.01718127491,NA,3704134,0.10798745401759224,15.124960051199663
LTU,1992,3,6185.53510851476,NA,3700114,0.08107858298419994,15.123874187950621
LTU,1993,7,5206.44255362131,NA,3682613,0.19008242245383916,15.119133112523619
LTU,1994,0,4730.69622192068,NA,3657144,0,15.11219307289443
LTU,1995,0,4924.09657364995,NA,3629102,0,15.10449579271672
LTU,1996,0,5211.10009196454,NA,3601613,0,15.096892358634976
LTU,1997,0,5685.44881050537,NA,3575137,0,15.08951405505431
LTU,1998,2,6154.17226900569,NA,3549331,0.05634864711124434,15.082269692988309
LTU,1999,1,6129.99860515858,NA,3524238,0.02837492814049448,15.075174800647591
LTU,2000,0,6384.30864873307,NA,3499536,0,15.068140946242702
LTU,2001,0,6854.52505220435,NA,3470818,0,15.059900859012261
